Month,MLB: (United States)
2004-01,7
2004-02,9
2004-03,11
2004-04,19
2004-05,18
2004-06,21
2004-07,20
2004-08,16
2004-09,19
2004-10,29
2004-11,8
2004-12,9
2005-01,8
2005-02,9
2005-03,13
2005-04,24
2005-05,21
2005-06,27
2005-07,26
2005-08,22
2005-09,22
2005-10,24
2005-11,9
2005-12,11
2006-01,9
2006-02,9
2006-03,14
2006-04,28
2006-05,24
2006-06,29
2006-07,30
2006-08,26
2006-09,23
2006-10,26
2006-11,11
2006-12,11
2007-01,8
2007-02,10
2007-03,15
2007-04,30
2007-05,26
2007-06,34
2007-07,32
2007-08,29
2007-09,32
2007-10,32
2007-11,11
2007-12,14
2008-01,9
2008-02,10
2008-03,17
2008-04,28
2008-05,25
2008-06,30
2008-07,33
2008-08,24
2008-09,27
2008-10,28
2008-11,10
2008-12,14
2009-01,12
2009-02,13
2009-03,15
2009-04,30
2009-05,30
2009-06,33
2009-07,36
2009-08,29
2009-09,25
2009-10,33
2009-11,15
2009-12,12
2010-01,10
2010-02,9
2010-03,15
2010-04,32
2010-05,28
2010-06,33
2010-07,34
2010-08,31
2010-09,29
2010-10,38
2010-11,11
2010-12,11
2011-01,9
2011-02,11
2011-03,17
2011-04,38
2011-05,32
2011-06,38
2011-07,43
2011-08,33
2011-09,38
2011-10,40
2011-11,11
2011-12,12
2012-01,10
2012-02,11
2012-03,16
2012-04,39
2012-05,35
2012-06,41
2012-07,42
2012-08,35
2012-09,39
2012-10,49
2012-11,11
2012-12,13
2013-01,10
2013-02,11
2013-03,16
2013-04,39
2013-05,36
2013-06,44
2013-07,49
2013-08,45
2013-09,44
2013-10,43
2013-11,10
2013-12,12
2014-01,9
2014-02,11
2014-03,18
2014-04,40
2014-05,34
2014-06,40
2014-07,42
2014-08,39
2014-09,41
2014-10,40
2014-11,10
2014-12,11
2015-01,9
2015-02,9
2015-03,13
2015-04,43
2015-05,43
2015-06,51
2015-07,52
2015-08,51
2015-09,53
2015-10,59
2015-11,12
2015-12,11
2016-01,9
2016-02,9
2016-03,13
2016-04,55
2016-05,57
2016-06,59
2016-07,60
2016-08,54
2016-09,59
2016-10,71
2016-11,18
2016-12,10
2017-01,8
2017-02,9
2017-03,15
2017-04,55
2017-05,56
2017-06,65
2017-07,68
2017-08,58
2017-09,61
2017-10,84
2017-11,16
2017-12,13
2018-01,11
2018-02,13
2018-03,22
2018-04,63
2018-05,62
2018-06,67
2018-07,70
2018-08,68
2018-09,72
2018-10,85
2018-11,11
2018-12,14
2019-01,13
2019-02,16
2019-03,28
2019-04,65
2019-05,64
2019-06,77
2019-07,74
2019-08,77
2019-09,74
2019-10,100
2019-11,11
2019-12,14
2020-01,12
2020-02,14
2020-03,13
2020-04,9
2020-05,10
2020-06,17
2020-07,31
2020-08,53
2020-09,54
2020-10,69
2020-11,7
2020-12,8
2021-01,10
2021-02,12
2021-03,16
2021-04,64
2021-05,64
